feature,perm_delta_smape,분류
avg_sales_nonzero_monthly,351.9226723692889,유지 (핵심 피처)
weekday_score,136.5262801067729,유지 (핵심 피처)
roll_mean_7,47.48170746467997,유지 (핵심 피처)
roll_max_7,29.756368523657784,유지 (핵심 피처)
roll_max_14,18.49892898511314,유지 (핵심 피처)
is_holiday,13.52856984987534,유지 (핵심 피처)
lag_1,13.25800708676718,유지 (핵심 피처)
item_dow_idx,12.649414239496764,유지 (핵심 피처)
roll_std_7,12.062449552694716,유지 (핵심 피처)
roll_std_28,11.746308936803873,유지 (핵심 피처)
var_sales_nonzero_days,10.038873491791035,유지 (핵심 피처)
avg_sales_nonzero_days,8.136304360868508,유지 (핵심 피처)
roll_mean_14,7.842711559931786,유지 (핵심 피처)
roll_mean_28,7.501406941620303,유지 (핵심 피처)
nonzero_rate_28,7.045675357336222,유지 (핵심 피처)
item_id,6.759509075136407,유지 (핵심 피처)
exp_item_dow_mean,6.508068015235153,유지 (핵심 피처)
roll_max_28,6.231538140564453,유지 (핵심 피처)
roll_std_14,6.063214066034789,유지 (핵심 피처)
zero_sales_day_ratio,5.480701819011642,고민 (중간 중요도)
season_sum,5.443624562640366,고민 (중간 중요도)
solar_term_sum,5.043062088167176,고민 (중간 중요도)
avg_sales_all_days,4.881583189634057,고민 (중간 중요도)
shop_dow_idx,4.718404159730994,고민 (중간 중요도)
exp_item_mean,4.585725563867868,고민 (중간 중요도)
is_sandwich,4.466147607772768,고민 (중간 중요도)
_solar_term_enc,4.072675884905607,고민 (중간 중요도)
lag_7,3.9688467800474423,고민 (중간 중요도)
menu_rank,3.750243243678142,고민 (중간 중요도)
trend_7_1,3.712254107258445,고민 (중간 중요도)
lag_14,3.6666814028022823,고민 (중간 중요도)
days_since_last_sale,3.649059942560712,고민 (중간 중요도)
is_before_holiday,2.7070776404236767,고민 (중간 중요도)
quarter_sum,2.145109548456503,고민 (중간 중요도)
dow_cos,1.5094787829623328,고민 (중간 중요도)
trend_14_7,1.340060838048771,고민 (중간 중요도)
exp_shop_dow_mean,1.216285552876684,고민 (중간 중요도)
day,1.1633510455777696,고민 (중간 중요도)
dow,1.0562428754694793,고민 (중간 중요도)
lag_28,0.99888813885309,고민 (중간 중요도)
demand_volatility,0.9988075380368856,고민 (중간 중요도)
dow_sin,0.9271796928153436,고민 (중간 중요도)
woy_cos,0.6518229797595723,고민 (중간 중요도)
_menu_category_enc,0.4470692055585914,고민 (중간 중요도)
is_after_holiday,0.3263520497781655,고민 (중간 중요도)
month_cos,0.1663670126365559,제거 후보 (낮은 중요도)
roll_min_14,0.1164821063561021,제거 후보 (낮은 중요도)
woy_sin,0.1113330461159876,제거 후보 (낮은 중요도)
업장_id,0.0970995657370394,제거 후보 (낮은 중요도)
_season_enc,0.0839819640286805,제거 후보 (낮은 중요도)
woy,0.0336811694987773,제거 후보 (낮은 중요도)
weekday,0.0113135317529895,제거 후보 (낮은 중요도)
time_idx,0.0,제거 후보 (낮은 중요도)
month_sin,0.0,제거 후보 (낮은 중요도)
year,0.0,제거 후보 (낮은 중요도)
quarter,0.0,제거 후보 (낮은 중요도)
brunch_flag,-0.0009247675153574,제거 후보 (낮은 중요도)
is_weekend,-0.0099955866309073,제거 후보 (낮은 중요도)
week,-0.057455460043343,제거 후보 (낮은 중요도)
month,-0.0657436976102872,제거 후보 (낮은 중요도)
roll_min_28,-0.1211278508941404,제거 후보 (낮은 중요도)
delta_1_7,-0.3273523789620185,제거 후보 (낮은 중요도)
hallroom_flag,-0.3688095649808929,제거 후보 (낮은 중요도)
roll_min_7,-0.5627642038663225,제거 후보 (낮은 중요도)
