feature,perm_delta_smape,분류
avg_sales_nonzero_monthly,259.1032203967354,유지 (핵심 피처)
weekday_score,111.27527232959562,유지 (핵심 피처)
avg_sales_nonzero_weekday,96.5657574471236,유지 (핵심 피처)
roll_mean_7,38.00002596523211,유지 (핵심 피처)
roll_max_7,14.77463820710318,유지 (핵심 피처)
roll_max_14,14.404739769003072,유지 (핵심 피처)
date_weight,12.796766753327688,유지 (핵심 피처)
var_sales_nonzero_days,12.328920165776251,유지 (핵심 피처)
item_dow_idx,11.390602820459549,유지 (핵심 피처)
avg_sales_nonzero_seasonly,10.669581314390598,유지 (핵심 피처)
roll_std_7,10.607175120170496,유지 (핵심 피처)
is_holiday,9.98843999123983,유지 (핵심 피처)
month_score,9.080705866274798,유지 (핵심 피처)
lag_1,8.795358831480598,유지 (핵심 피처)
roll_std_14,8.521881838424292,유지 (핵심 피처)
roll_std_28,7.733568370549506,유지 (핵심 피처)
roll_mean_14,7.0008066282139225,유지 (핵심 피처)
roll_mean_28,6.223499043741867,유지 (핵심 피처)
avg_sales_all_days,5.884670965789837,유지 (핵심 피처)
avg_sales_nonzero_days,5.4729986040833865,유지 (핵심 피처)
days_since_last_sale,5.231918602352266,유지 (핵심 피처)
nonzero_rate_28,4.768555880139047,고민 (중간 중요도)
exp_item_dow_mean,4.67176677905843,고민 (중간 중요도)
shop_dow_idx,4.16124349796246,고민 (중간 중요도)
lag_7,3.959602444158804,고민 (중간 중요도)
solar_term_sum,3.958782477317072,고민 (중간 중요도)
exp_item_mean,3.744517549422426,고민 (중간 중요도)
item_id,3.390919414930181,고민 (중간 중요도)
zero_sales_day_ratio,3.158254394175742,고민 (중간 중요도)
trend_7_1,3.0343266362996246,고민 (중간 중요도)
exp_shop_dow_mean,2.8762157386782974,고민 (중간 중요도)
is_sandwich,2.6830603778577142,고민 (중간 중요도)
day,2.527042226446952,고민 (중간 중요도)
dow_cos,2.3974767122294907,고민 (중간 중요도)
menu_rank,2.2476636897945355,고민 (중간 중요도)
roll_max_28,1.9705293336101024,고민 (중간 중요도)
is_before_holiday,1.6538821467088385,고민 (중간 중요도)
dow,1.5504826207543374,고민 (중간 중요도)
season_sum,1.3878275914790947,고민 (중간 중요도)
_solar_term_enc,0.8710735314209614,고민 (중간 중요도)
demand_volatility,0.7564412874672826,고민 (중간 중요도)
woy_cos,0.7531373015451663,고민 (중간 중요도)
trend_14_7,0.6791644840420759,고민 (중간 중요도)
lag_14,0.5485410639723796,고민 (중간 중요도)
weekday,0.3516970593947235,고민 (중간 중요도)
is_after_holiday,0.3115826255761931,고민 (중간 중요도)
_menu_category_enc,0.244535135547494,고민 (중간 중요도)
lag_28,0.2023269802955383,제거 후보 (낮은 중요도)
week,0.033068236206077,제거 후보 (낮은 중요도)
woy,0.0259143975738425,제거 후보 (낮은 중요도)
month_cos,0.0208791530437792,제거 후보 (낮은 중요도)
month,0.0186685616024533,제거 후보 (낮은 중요도)
is_weekend,0.0,제거 후보 (낮은 중요도)
quarter,0.0,제거 후보 (낮은 중요도)
year,0.0,제거 후보 (낮은 중요도)
time_idx,0.0,제거 후보 (낮은 중요도)
brunch_flag,-0.0001452342983156,제거 후보 (낮은 중요도)
month_sin,-0.0035307346330455,제거 후보 (낮은 중요도)
_season_enc,-0.0697812616505189,제거 후보 (낮은 중요도)
hallroom_flag,-0.0805930681489144,제거 후보 (낮은 중요도)
roll_min_28,-0.0819240380925521,제거 후보 (낮은 중요도)
업장_id,-0.1594256138370156,제거 후보 (낮은 중요도)
roll_min_7,-0.1661722693588672,제거 후보 (낮은 중요도)
roll_min_14,-0.1860453178321677,제거 후보 (낮은 중요도)
woy_sin,-0.1979318552548647,제거 후보 (낮은 중요도)
dow_sin,-0.2976596773363553,제거 후보 (낮은 중요도)
delta_1_7,-0.4571037785468661,제거 후보 (낮은 중요도)
quarter_sum,-1.79594619174361,제거 후보 (낮은 중요도)
