feature,perm_delta_smape,분류
avg_sales_nonzero_monthly,282.9187143851858,유지 (핵심 피처)
weekday_score,126.66094397481436,유지 (핵심 피처)
avg_sales_nonzero_weekday,80.281191481865,유지 (핵심 피처)
roll_mean_7,38.43666784316315,유지 (핵심 피처)
avg_sales_nonzero_seasonly,28.53263592054475,유지 (핵심 피처)
roll_max_7,24.529948955785585,유지 (핵심 피처)
is_holiday,14.152181921777014,유지 (핵심 피처)
roll_max_14,13.460909392113308,유지 (핵심 피처)
lag_1,12.515563643535415,유지 (핵심 피처)
var_sales_nonzero_days,12.48037742425754,유지 (핵심 피처)
item_dow_idx,12.189619205222584,유지 (핵심 피처)
roll_mean_14,11.139629804530728,유지 (핵심 피처)
roll_std_28,10.239310794912171,유지 (핵심 피처)
roll_std_14,8.688983837779688,유지 (핵심 피처)
days_since_last_sale,8.015611479791232,유지 (핵심 피처)
avg_sales_nonzero_days,7.687522157691546,유지 (핵심 피처)
item_id,7.306969632834352,유지 (핵심 피처)
lag_7,6.615309451275266,유지 (핵심 피처)
avg_sales_all_days,6.355859981048297,유지 (핵심 피처)
roll_std_7,5.803556449720986,유지 (핵심 피처)
lag_14,5.606292999084076,고민 (중간 중요도)
roll_max_28,4.92356127553262,고민 (중간 중요도)
zero_sales_day_ratio,4.800627510451363,고민 (중간 중요도)
shop_dow_idx,4.5513634360114565,고민 (중간 중요도)
_solar_term_enc,4.058934937648814,고민 (중간 중요도)
is_sandwich,3.866111684053976,고민 (중간 중요도)
exp_item_mean,3.6325121367341353,고민 (중간 중요도)
dow,2.836874170305009,고민 (중간 중요도)
solar_term_sum,2.2873591999065184,고민 (중간 중요도)
dow_cos,2.163204607860962,고민 (중간 중요도)
is_before_holiday,2.0096676271761,고민 (중간 중요도)
trend_14_7,1.995553575201484,고민 (중간 중요도)
roll_mean_28,1.9935700547248416,고민 (중간 중요도)
exp_item_dow_mean,1.7949232619129134,고민 (중간 중요도)
exp_shop_dow_mean,1.5751992954780007,고민 (중간 중요도)
menu_rank,1.560978693688753,고민 (중간 중요도)
nonzero_rate_28,1.4020110243448016,고민 (중간 중요도)
trend_7_1,1.3439584611332975,고민 (중간 중요도)
woy_cos,1.0492386104745035,고민 (중간 중요도)
delta_1_7,1.0447734422705253,고민 (중간 중요도)
is_after_holiday,0.7978860657938185,고민 (중간 중요도)
dow_sin,0.7401303924169724,고민 (중간 중요도)
lag_28,0.3325877964352912,고민 (중간 중요도)
weekday,0.3272993711154868,고민 (중간 중요도)
demand_volatility,0.2419920868749159,고민 (중간 중요도)
업장_id,0.186328396601425,고민 (중간 중요도)
roll_min_14,0.1509468581721194,제거 후보 (낮은 중요도)
_menu_category_enc,0.1306178274148806,제거 후보 (낮은 중요도)
roll_min_28,0.0873995147537698,제거 후보 (낮은 중요도)
_season_enc,0.0300548220727705,제거 후보 (낮은 중요도)
brunch_flag,0.0072562714649393,제거 후보 (낮은 중요도)
quarter,0.0,제거 후보 (낮은 중요도)
time_idx,0.0,제거 후보 (낮은 중요도)
year,0.0,제거 후보 (낮은 중요도)
is_weekend,0.0,제거 후보 (낮은 중요도)
month_sin,-0.0027508873492934,제거 후보 (낮은 중요도)
week,-0.0087256739442409,제거 후보 (낮은 중요도)
woy,-0.0968035486778262,제거 후보 (낮은 중요도)
roll_min_7,-0.2239461346987354,제거 후보 (낮은 중요도)
month,-0.2857104919918356,제거 후보 (낮은 중요도)
woy_sin,-0.3373431035993235,제거 후보 (낮은 중요도)
season_sum,-0.3442793246251767,제거 후보 (낮은 중요도)
hallroom_flag,-0.3679852143311564,제거 후보 (낮은 중요도)
month_cos,-0.5330276602310278,제거 후보 (낮은 중요도)
quarter_sum,-0.8415430857196498,제거 후보 (낮은 중요도)
day,-1.1842417562338596,제거 후보 (낮은 중요도)
